performance,IQ
73.6,85.5
78.6,92.9
73.0,80.9
86.6,108.5
78.0,99.6
71.8,85.6
78.4,103.2
77.9,113.1
78.8,104.8
70.3,107.7
82.4,121.3
75.0,112.5
72.8,88.4
65.9,63.1
81.8,111.1
75.0,98.9
75.2,98.8
80.4,110.5
81.5,102.4
73.7,123.8
81.2,106.6
82.4,98.1
77.7,92.6
62.9,81.2
82.3,93.0
75.5,96.6
75.2,94.5
67.5,81.0
70.5,101.6
79.1,98.4
82.0,117.9
74.0,100.8
75.2,111.9
78.6,85.2
63.6,98.0
71.5,99.6
72.0,98.7
75.7,95.7
78.7,121.5
77.1,116.9
72.4,104.6
73.0,99.5
78.0,111.2
76.2,113.5
71.7,90.2
70.3,95.1
78.0,100.8
79.9,106.9
74.2,99.5
80.3,108.8
75.8,109.9
70.6,96.8
77.5,101.8
69.7,83.9
84.3,111.7
85.5,124.8
75.0,88.6
69.8,85.9
77.3,109.9
73.5,101.5
89.8,122.4
73.5,104.3
79.6,105.2
77.1,93.5
69.0,98.4
78.3,94.3
67.6,70.0
83.6,115.3
74.9,105.6
87.8,122.5
75.0,115.5
71.0,92.1
75.3,118.6
69.9,89.2
65.5,95.1
77.5,100.4
67.9,112.1
75.3,99.1
73.4,108.4
69.4,101.9
69.4,102.6
74.4,98.0
81.0,115.7
69.0,73.8
82.0,93.5
74.3,113.4
77.7,124.1
75.2,89.8
77.6,102.6
80.0,90.4
69.5,102.9
81.1,116.2
81.4,113.8
81.6,98.4
80.7,129.9
78.6,104.9
67.3,87.7
72.2,92.3
65.7,95.3
73.1,92.2
72.9,88.2
72.1,112.2
69.7,90.6
76.6,99.2
74.1,82.7
83.2,126.3
80.1,104.3
79.4,113.2
77.8,102.4
83.5,122.5
68.1,105.3
71.5,98.2
84.0,112.9
67.1,108.4
74.0,97.2
74.7,88.8
68.2,114.9
72.6,100.2
83.3,85.5
71.2,108.6
71.5,96.8
80.7,121.9
71.0,108.0
71.8,106.3
74.2,99.8
77.0,115.5
71.9,109.1
75.8,96.2
70.3,95.6
73.9,93.8
74.0,105.8
72.3,91.3
78.1,105.7
65.2,87.9
77.6,100.5
65.2,87.1
75.4,89.2
74.4,85.7
75.0,79.6
73.9,102.6
64.2,78.7
86.5,95.6
64.0,87.6
74.0,89.3
71.4,78.1
70.5,92.6
84.9,130.4
76.7,94.4
69.3,80.3
67.3,76.1
82.1,88.5
76.2,95.3
75.2,89.4
68.2,95.6
63.6,94.5
69.1,87.4
84.1,98.6
69.5,100.7
68.6,79.8
84.2,126.2
78.2,102.1
74.9,92.8
83.3,103.5
78.0,117.4
73.1,87.5
83.7,138.5
72.1,102.8
64.6,93.1
76.4,90.5
78.7,93.3
85.2,136.4
77.3,95.1
79.6,98.0
75.6,95.4
72.5,98.6
70.5,115.7
76.7,119.2
88.9,115.4
79.9,114.9
78.9,124.4
69.9,79.6
78.4,119.2
74.4,109.4
66.5,84.7
73.7,121.5
73.4,101.0
87.6,100.8
69.4,96.4
70.5,102.8
72.7,79.3
74.6,95.9
78.4,100.5
69.5,96.9
80.1,107.8
66.2,94.0
71.1,81.2
81.3,123.0
66.3,99.9
75.0,113.3
69.0,110.0
77.9,102.7
85.7,114.6
84.4,116.3
73.6,94.7
60.2,81.8
85.7,140.5
80.8,100.1
77.9,106.9
76.5,94.2
77.6,106.9
68.4,119.1
78.0,102.6
79.6,70.6
67.2,85.2
81.1,109.3
82.5,121.0
74.3,92.8
68.6,83.7
76.8,114.0
71.7,110.9
63.7,86.3
77.4,91.5
78.4,67.7
73.4,95.3
65.7,97.5
85.2,120.1
76.1,85.5
68.9,71.5
76.1,102.6
77.2,100.6
73.4,74.6
57.6,72.0
74.8,80.7
77.0,111.0
74.1,101.6
71.8,108.8
78.2,106.5
70.1,80.5
81.9,110.0
73.5,105.6
80.9,101.1
79.6,116.1
76.0,103.8
74.7,73.5
83.7,105.3
64.3,75.7
71.2,96.7
76.3,87.4
73.3,101.1
81.9,107.4
74.6,106.1
73.6,118.2
75.7,95.4
74.3,95.0
81.9,96.9
84.0,103.6
58.8,83.1
79.9,100.4
76.4,106.9
73.3,92.8
81.0,108.5
70.1,105.9
72.7,99.5
76.9,120.5
82.8,126.2
77.8,98.4
76.4,81.8
69.6,82.2
73.7,94.3
68.2,95.1
70.0,110.3
79.2,97.4
67.8,99.6
85.4,146.3
80.2,86.1
80.5,116.0
64.1,67.1
79.5,107.3
68.2,83.3
82.7,101.3
78.9,98.7
71.6,99.8
81.9,117.2
74.5,79.7
73.6,87.0
67.9,94.4
68.9,101.1
85.8,90.8
76.7,107.9
78.9,118.1
76.7,81.7
75.8,109.2
77.6,98.6
67.8,81.2
83.4,126.1
72.7,112.8
78.7,111.0
77.5,121.5
72.7,106.9
71.3,103.9
80.7,107.7
68.7,90.0
83.6,131.3
67.6,115.2
87.6,106.7
82.2,121.8
77.2,94.7
81.1,95.9
70.2,85.1
74.0,114.0
78.1,122.1
73.5,108.9
73.2,92.2
74.4,81.5
72.3,108.8
79.5,117.7
72.1,95.4
70.9,111.5
67.3,87.3
82.5,88.5
84.8,105.9
84.8,112.0
80.6,105.7
66.4,72.1
80.3,96.3
70.5,131.2
74.5,90.7
77.9,94.9
72.1,83.4
78.3,109.8
76.5,84.4
64.3,89.5
72.4,97.9
79.7,126.5
75.0,89.6
75.3,122.5
74.8,130.9
73.8,104.6
71.2,103.1
73.3,89.6
76.7,117.3
73.1,73.5
72.7,116.5
71.1,105.3
65.6,62.6
67.9,81.3
79.8,111.6
70.8,109.6
78.5,112.9
90.0,105.5
83.6,115.6
76.9,114.6
77.5,103.1
67.6,121.3
84.4,115.8
80.8,98.0
68.3,87.3
74.7,96.4
66.9,68.9
72.3,104.0
62.8,62.4
79.8,124.5
67.9,106.0
74.2,89.6
74.3,97.2
76.2,115.3
79.7,104.7
81.4,95.0
76.2,77.7
64.2,96.3
72.2,98.2
76.7,102.8
68.3,98.7
74.2,101.1
69.3,83.8
77.9,89.5
76.6,98.3
81.0,73.7
72.1,105.6
81.5,132.5
83.0,95.2
80.1,116.8
70.9,85.7
77.7,95.4
81.2,114.3
73.5,103.9
61.3,82.7
75.6,108.9
64.8,77.0
70.5,91.1
84.6,107.0
81.9,94.5
79.9,117.1
75.0,109.8
74.5,98.4
73.6,75.9
82.9,122.1
79.8,84.0
69.6,97.3
81.0,105.7
82.1,108.5
86.3,119.2
71.9,92.2
75.1,87.4
72.4,96.6
73.3,94.6
73.9,92.6
74.1,94.0
85.6,107.1
71.2,91.8
70.7,103.6
78.4,108.6
79.5,119.6
70.8,91.1
75.2,83.2
78.9,102.4
78.5,119.6
71.3,105.8
68.2,79.8
81.0,132.7
84.1,112.6
71.2,91.7
74.1,101.3
65.8,77.9
82.4,91.3
84.2,117.9
59.8,103.8
72.0,86.3
70.9,94.7
73.3,84.8
65.3,71.0
80.8,95.1
63.8,92.5
78.3,87.2
78.4,106.8
75.2,93.1
81.8,103.9
80.2,80.4
74.0,83.2
78.8,107.0
72.2,96.7
87.1,112.1
72.7,107.9
80.3,108.0
73.9,110.6
61.7,53.2
70.1,74.7
72.8,94.7
77.4,99.1
59.0,84.3
77.7,121.1
67.7,107.8
72.6,84.9
72.0,61.6
70.7,69.6
77.3,93.7
77.1,108.7
62.9,77.8
65.6,102.7
78.2,105.6
71.7,97.9
84.6,134.0
78.5,127.0
79.1,104.3
71.6,112.7
73.7,113.9
68.2,102.6
78.6,106.9
85.7,108.2
82.5,107.3
72.9,82.0
65.9,82.1
72.3,106.8
73.6,119.2
82.0,117.6
62.6,103.6
77.3,103.2
76.8,101.2
80.7,117.3
78.8,85.5
71.5,101.7
67.2,92.2
68.5,107.4
75.2,88.0
84.7,139.6
87.0,134.0
76.3,90.2
71.6,79.5
67.0,66.7
77.4,107.9
67.2,94.2
89.1,121.2
71.9,83.4
78.1,92.3
92.6,156.9
70.3,82.0
78.1,98.7
70.7,80.6
74.1,114.6
69.7,91.7
73.7,107.3
74.9,91.0
69.4,83.1
74.2,103.5
82.7,103.6
86.1,110.1
67.8,82.9
68.9,114.7
84.0,104.3
68.6,88.2
57.7,83.2
72.6,79.1
72.7,77.9
76.4,96.6
79.7,70.1
78.6,94.3
76.3,82.1
77.3,103.8
73.7,93.3
82.0,112.3
71.5,89.5
77.5,100.3
69.6,91.9
71.7,118.9
75.4,97.1
64.9,83.5
72.2,106.0
81.3,114.7
79.4,105.8
73.8,109.1
64.0,102.4
79.3,121.6
76.3,98.0
74.2,88.6
86.7,109.7
70.9,90.7
73.2,116.3
86.4,99.4
75.9,116.1
76.8,83.8
69.0,108.8
77.8,101.3
76.7,110.2
75.9,97.4
86.2,101.3
75.1,97.8
68.6,101.3
76.1,113.1
62.7,75.4
73.7,117.4
80.9,94.5
75.2,92.4
66.1,97.3
73.0,95.1
82.7,121.4
70.8,92.0
65.7,60.3
76.0,122.3
72.8,92.4
72.7,92.3
70.3,78.8
74.5,101.2
75.1,122.3
71.2,95.4
70.7,96.5
83.5,103.8
73.9,96.5
73.8,99.5
71.2,94.3
79.1,113.9
69.9,87.4
76.8,120.7
78.0,114.7
72.3,95.1
77.0,119.8
82.8,102.9
78.0,107.7
86.2,123.7
62.6,83.2
67.9,89.3
67.5,84.0
74.2,108.6
82.2,124.1
81.3,130.5
79.1,100.9
78.8,114.3
76.5,90.1
81.1,92.9
80.5,92.0
71.2,89.9
77.7,81.2
74.4,98.2
81.3,121.5
67.9,93.3
62.6,78.2
80.6,104.0
71.0,89.1
75.1,85.8
79.1,113.8
68.9,98.2
71.0,103.9
86.3,106.8
78.5,104.1
80.4,97.8
75.7,93.4
68.8,86.7
65.6,87.1
73.7,97.8
84.5,129.1
74.7,108.3
77.8,95.3
75.8,107.7
71.9,99.3
72.1,66.3
89.7,131.5
75.2,86.1
76.7,84.4
62.7,88.4
74.1,95.6
74.3,94.8
70.8,107.4
69.9,61.9
87.4,111.6
78.9,142.1
78.4,109.5
68.7,88.1
76.2,118.7
73.2,99.0
73.5,95.4
80.4,123.7
66.4,92.6
70.9,98.8
71.2,90.8
74.0,104.6
65.6,84.7
72.1,88.4
76.9,115.9
76.7,108.9
71.7,81.2
73.9,121.9
63.3,65.6
73.3,95.7
78.1,111.7
70.1,97.2
72.0,110.1
68.3,74.0
78.4,114.9
65.3,76.7
72.5,99.1
71.5,104.8
76.3,97.3
66.2,106.1
84.1,125.1
63.3,97.6
76.2,103.8
59.6,63.0
76.0,96.6
77.5,107.3
70.0,83.9
78.6,109.3
79.3,94.9
79.5,114.7
70.6,89.4
69.3,90.1
65.9,77.0
74.3,92.6
67.2,86.2
77.6,112.5
78.2,90.8
86.1,129.0
64.9,100.2
82.1,111.7
70.5,100.1
65.0,90.5
76.7,112.3
68.7,77.6
72.3,76.6
74.4,79.1
76.5,101.3
73.6,73.7
78.7,120.8
65.4,97.3
79.2,91.7
80.9,83.0
75.5,64.5
72.7,94.8
71.5,92.0
78.7,117.2
83.6,118.0
71.5,79.7
83.2,99.7
74.7,98.9
63.2,81.0
70.1,94.0
71.8,126.5
70.4,121.8
62.1,69.8
80.6,98.1
79.4,104.9
71.6,102.9
66.6,108.5
86.8,119.8
73.1,104.2
77.8,89.4
65.7,98.4
69.6,77.2
68.5,75.5
74.4,89.1
85.0,106.7
87.0,112.2
83.2,120.1
83.9,108.7
75.4,91.4
65.7,95.4
73.9,93.9
59.5,80.4
73.1,97.0
87.8,106.0
80.0,86.1
80.0,116.8
75.6,113.5
75.4,74.1
86.6,113.1
74.3,100.2
69.4,89.7
74.3,105.0
65.1,88.3
79.0,113.0
75.6,114.1
74.2,91.7
67.4,112.4
79.6,113.0
66.4,98.0
70.8,84.1
77.6,104.2
70.8,101.4
82.3,102.9
74.2,97.0
82.4,111.0
78.3,104.1
62.9,73.1
71.1,72.2
87.4,95.6
78.2,110.4
69.9,88.0
68.7,80.5
80.5,112.8
72.8,82.5
86.1,117.1
80.5,136.5
69.6,73.8
72.6,82.2
66.8,90.5
79.2,106.0
69.8,78.3
60.2,89.7
83.0,135.1
81.4,108.6
75.9,123.0
70.3,96.4
74.8,100.6
79.9,101.9
68.8,82.0
74.7,97.5
73.7,110.5
83.6,122.5
78.3,108.4
86.8,97.8
75.7,102.2
71.1,79.1
74.7,90.6
65.1,83.4
80.6,109.1
81.8,120.6
73.6,103.5
69.5,89.3
78.1,123.5
75.7,102.0
73.8,92.4
82.7,107.7
68.6,99.5
79.9,118.7
71.4,86.8
81.4,89.3
75.8,125.6
65.9,90.9
73.0,120.1
72.5,105.7
74.0,125.3
74.4,77.4
72.0,108.6
85.9,104.1
80.1,86.9
78.2,114.6
70.2,110.6
72.0,78.4
76.4,94.9
68.2,86.2
59.7,73.5
80.0,119.0
66.8,95.6
60.6,94.9
78.0,120.8
77.7,90.1
71.6,93.7
74.9,95.0
71.9,98.0
79.9,114.1
80.2,104.5
67.7,72.2
80.8,90.2
79.1,108.2
82.2,95.3
60.3,77.0
75.7,90.3
82.0,137.4
79.5,109.1
68.5,69.5
66.1,79.9
75.4,114.4
75.0,94.5
78.3,118.8
75.8,106.7
76.6,96.8
76.6,100.1
75.4,103.9
70.5,76.5
92.7,110.1
65.5,90.0
73.9,103.8
73.7,87.6
